"streetlight_model","streetlight_type","streetlight_wattage","longitude","latitude"
"COBRA","HPS","150.0","-117.1427555","32.7006443"
"COBRA","HPS","150.0","-117.14220923","32.70067262"
"COBRA","HPS","150.0","-117.1424796","32.70050354"
"COBRA","IND","250.0","-117.24597823","32.72029623"
"COBRA","IND","85.0","-117.24583084","32.71005401"
"COBRA","IND","85.0","-117.24543037","32.71103089"
"COBRA","IND","85.0","-117.24547949","32.71148702"
"COBRA","IND","85.0","-117.24498965","32.71230248"
"COBRA","IND","85.0","-117.24735548","32.71272394"
"COBRA","IND","85.0","-117.24733839","32.71142253"
"COBRA","IND","85.0","-117.2447819","32.71413779"
"COBRA","IND","85.0","-117.24488378","32.71302869"
"COBRA","IND","85.0","-117.24422312","32.71510598"
"COBRA","IND","85.0","-117.24433405","32.71586093"
"COBRA","IND","85.0","-117.24375369","32.71686917"
"COBRA","IND","85.0","-117.24374195","32.71791378"
"COBRA","IND","85.0","-117.24278842","32.71776747"
"COBRA","IND","85.0","-117.24321311","32.71693605"
"COBRA","IND","85.0","-117.2432151","32.71595859"
"COBRA","IND","85.0","-117.24322373","32.71489445"
"COBRA","IND","85.0","-117.24240551","32.71457981"
"COBRA","IND","85.0","-117.24180106","32.71742669"
"COBRA","IND","85.0","-117.24088398","32.71711867"
"COBRA","IND","85.0","-117.24089412","32.71912575"
"COBRA","IND","85.0","-117.24038587","32.719954"
"COBRA","IND","85.0","-117.24166766","32.71929677"
"COBRA","IND","85.0","-117.24036154","32.71719697"
"COBRA","IND","85.0","-117.24814232","32.7192897"
"COBRA","IND","85.0","-117.2483154","32.71860376"
"COBRA","IND","85.0","-117.24839878","32.71768332"
"COBRA","IND","85.0","-117.24903063","32.71481671"
"COBRA","IND","85.0","-117.24915361","32.7133926"
"COBRA","IND","85.0","-117.24860821","32.71331149"
"COBRA","IND","85.0","-117.24828377","32.71574508"
"COBRA","IND","85.0","-117.24858108","32.7147199"
"COBRA","IND","85.0","-117.24902296","32.71590819"
"COBRA","IND","85.0","-117.24355525","32.71266535"
"COBRA","IND","85.0","-117.24421383","32.71261009"
"COBRA","IND","85.0","-117.24612873","32.71118771"
"COBRA","IND","55.0","-117.24648329","32.71063669"
"COBRA","IND","85.0","-117.24764336","32.71825948"
