station_id,avg_daily_traffic,yearly_traffic,distance lights to station in feet,lights_lat,lights_long,no. of lights
Station_id 119030,31931,11655051,7089.590071,32.7006443,-117.1427555,20686
Station_id 119030,31931,11655051,6939.452247,32.70067262,-117.1422092,20686
Station_id 119030,31931,11655051,6990.839615,32.70050354,-117.1424796,20686
Station_id 119030,31931,11655051,6297.007021,32.70002815,-117.1402729,20686
Station_id 119030,31931,11655051,8428.037608,32.70195963,-117.1468002,20686
Station_id 119030,31931,11655051,8634.630832,32.70233192,-117.1473378,20686
Station_id 119030,31931,11655051,8261.979275,32.70252108,-117.1459122,20686
Station_id 119030,31931,11655051,7929.999161,32.70206498,-117.144979,20686
Station_id 119030,31931,11655051,7813.475244,32.70171798,-117.1447532,20686
Station_id 119030,31931,11655051,8543.314583,32.70096087,-117.1476722,20686
Station_id 119030,31931,11655051,8588.700605,32.70063415,-117.1479671,20686
Station_id 119030,31931,11655051,8680.30486,32.70020397,-117.1484513,20686
Station_id 119030,31931,11655051,7113.254732,32.69958893,-117.1433399,20686
Station_id 119030,31931,11655051,7434.921969,32.70016013,-117.1441976,20686
Station_id 119030,31931,11655051,8354.697119,32.70167834,-117.1466833,20686
Station_id 119030,31931,11655051,7694.376736,32.70145529,-117.1444706,20686
Station_id 119030,31931,11655051,8183.698419,32.69849329,-117.1473687,20686
Station_id 119030,31931,11655051,7861.931722,32.69867975,-117.1462312,20686
Station_id 119030,31931,11655051,7725.530539,32.69840685,-117.1458625,20686
Station_id 119030,31931,11655051,8341.440961,32.70258294,-117.1461619,20686
Station_id 119030,31931,11655051,7583.714683,32.70150238,-117.1440526,20686
Station_id 119030,31931,11655051,7477.301521,32.70115145,-117.1438619,20686
Station_id 119030,31931,11655051,7207.558835,32.70059922,-117.1431942,20686
Station_id 119030,31931,11655051,6989.845297,32.70021778,-117.1426199,20686
Station_id 119030,31931,11655051,5895.345896,32.69735008,-117.1400646,20686
Station_id 119030,31931,11655051,5875.003339,32.69711055,-117.1400759,20686
Station_id 119030,31931,11655051,6925.025351,32.69928318,-117.1428235,20686
