,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2019-03-05 09:00:00-08:00,5.8924255,0.5334161,491.25893101886754,698.0144230684408,118.69922606245274,5.0,4.0,0.0,1.0
2019-03-05 12:00:00-08:00,5.66098,2.6137054,718.0167952387293,575.5103335627833,270.8529843991178,15.0,2.0,0.0,13.0
2019-03-05 15:00:00-08:00,8.77475,0.47421736,505.57451330214747,765.3714989825929,98.48950444633198,0.0,0.0,0.0,0.0
2019-03-05 18:00:00-08:00,26.661835,1.726797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05 21:00:00-08:00,29.154877,2.683859,0.0,0.0,0.0,50.0,0.0,0.0,50.0
2019-03-06 00:00:00-08:00,20.954895,1.5546485,0.0,0.0,0.0,42.0,0.0,17.0,40.0
2019-03-06 03:00:00-08:00,11.849976,1.5158322,0.0,0.0,0.0,54.0,2.0,22.0,32.0
2019-03-06 06:00:00-08:00,12.850006,4.141828,0.0,0.0,0.0,77.0,1.0,59.0,66.0
2019-03-06 09:00:00-08:00,11.908051,2.1943834,452.4522020993174,500.6599826687239,182.89509543661802,18.0,0.0,0.0,18.0
2019-03-06 12:00:00-08:00,13.513336,5.580754,680.064303861707,476.7850023526106,307.5879825125145,23.0,13.0,14.0,9.0
2019-03-06 15:00:00-08:00,12.65152,1.6784595,188.01326825315508,8.823426355131101,183.28956651140817,97.0,48.0,97.0,0.0
2019-03-06 18:00:00-08:00,24.05249,3.6354806,0.0,0.0,0.0,58.0,26.0,58.0,0.0
2019-03-06 21:00:00-08:00,16.7258,2.1983037,0.0,0.0,0.0,68.0,68.0,3.0,0.0
2019-03-07 00:00:00-08:00,14.92511,2.315272,0.0,0.0,0.0,83.0,83.0,2.0,3.0
2019-03-07 03:00:00-08:00,13.446625,1.37995,0.0,0.0,0.0,98.0,95.0,0.0,44.0
2019-03-07 06:00:00-08:00,13.228485,2.9635935,0.0,0.0,0.0,98.0,96.0,0.0,50.0
2019-03-07 09:00:00-08:00,12.6345215,1.2605468,187.68774121895828,7.894976518118103,183.40020677222108,98.0,89.0,0.0,84.0
2019-03-07 12:00:00-08:00,9.92746,1.3697898,307.37255758479716,20.703565005674697,291.1111490794654,95.0,82.0,0.0,79.0
2019-03-07 15:00:00-08:00,11.277679,1.4718579,378.91486005530066,269.7369811116243,233.57822703044374,40.0,18.0,0.0,27.0
2019-03-07 18:00:00-08:00,19.945068,1.6050371,0.0,0.0,0.0,56.0,38.0,0.0,34.0
2019-03-07 21:00:00-08:00,16.550781,3.0423782,0.0,0.0,0.0,100.0,92.0,0.0,100.0
2019-03-08 00:00:00-08:00,15.736908,3.6691172,0.0,0.0,0.0,99.0,91.0,0.0,89.0
2019-03-08 03:00:00-08:00,8.75,2.8405752,0.0,0.0,0.0,56.0,50.0,0.0,19.0
2019-03-08 06:00:00-08:00,8.150726,0.61874986,0.0,0.0,0.0,35.0,32.0,0.0,10.0
2019-03-08 09:00:00-08:00,7.49646,2.4776065,355.5294585358384,197.6414817861097,247.2727664737054,49.0,47.0,0.0,10.0
2019-03-08 12:00:00-08:00,7.149994,5.8161874,618.5708049451705,308.3691530346773,375.07323521156434,36.0,35.0,0.0,5.0
2019-03-08 15:00:00-08:00,8.643951,4.769583,464.98613505698705,546.5781935657792,168.61675304256403,15.0,15.0,0.0,0.0
2019-03-08 18:00:00-08:00,19.504974,4.440679,0.0,0.0,0.0,15.0,14.0,1.0,0.0
2019-03-08 21:00:00-08:00,20.795105,7.409902,0.0,0.0,0.0,15.0,15.0,0.0,0.0
2019-03-09 00:00:00-08:00,14.857758,5.546532,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2019-03-09 03:00:00-08:00,7.1961365,2.47632,0.0,0.0,0.0,6.0,6.0,0.0,0.0
2019-03-09 06:00:00-08:00,5.703888,0.7527008,0.0,0.0,0.0,23.0,23.0,0.0,0.0
