,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2019-03-05 09:00:00-08:00,5.8924255,0.5334161,485.4910102730426,677.9091508297167,124.31792356051727,5.0,4.0,0.0,1.0
2019-03-05 12:00:00-08:00,5.66098,2.6137054,715.7287122169057,564.4259628340856,275.9045884660057,15.0,2.0,0.0,13.0
2019-03-05 15:00:00-08:00,8.77475,0.47421736,505.83222141676436,747.7321227226817,104.88546350235646,0.0,0.0,0.0,0.0
2019-03-05 18:00:00-08:00,26.661835,1.726797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05 21:00:00-08:00,29.154877,2.683859,0.0,0.0,0.0,50.0,0.0,0.0,50.0
2019-03-06 00:00:00-08:00,20.954895,1.5546485,0.0,0.0,0.0,42.0,0.0,17.0,40.0
2019-03-06 03:00:00-08:00,11.849976,1.5158322,0.0,0.0,0.0,54.0,2.0,22.0,32.0
2019-03-06 06:00:00-08:00,12.850006,4.141828,0.0,0.0,0.0,77.0,1.0,59.0,66.0
2019-03-06 09:00:00-08:00,11.908051,2.1943834,447.1140031368763,485.2577207083054,186.32711725460354,18.0,0.0,0.0,18.0
2019-03-06 12:00:00-08:00,13.513336,5.580754,677.8364972395623,464.01857948184835,314.2943617366469,23.0,13.0,14.0,9.0
2019-03-06 15:00:00-08:00,12.65152,1.6784595,188.07794142010746,8.365920504960403,183.56301327819162,97.0,48.0,97.0,0.0
2019-03-06 18:00:00-08:00,24.05249,3.6354806,0.0,0.0,0.0,58.0,26.0,58.0,0.0
2019-03-06 21:00:00-08:00,16.7258,2.1983037,0.0,0.0,0.0,68.0,68.0,3.0,0.0
2019-03-07 00:00:00-08:00,14.92511,2.315272,0.0,0.0,0.0,83.0,83.0,2.0,3.0
2019-03-07 03:00:00-08:00,13.446625,1.37995,0.0,0.0,0.0,98.0,95.0,0.0,44.0
2019-03-07 06:00:00-08:00,13.228485,2.9635935,0.0,0.0,0.0,98.0,96.0,0.0,50.0
2019-03-07 09:00:00-08:00,12.6345215,1.2605468,185.46284353591696,7.154852652149626,181.58441259615935,98.0,89.0,0.0,84.0
2019-03-07 12:00:00-08:00,9.92746,1.3697898,306.3384737807655,20.291501561417896,290.35557887714606,95.0,82.0,0.0,79.0
2019-03-07 15:00:00-08:00,11.277679,1.4718579,378.9830834571724,260.7367997532746,237.37325967287774,40.0,18.0,0.0,27.0
2019-03-07 18:00:00-08:00,19.945068,1.6050371,0.0,0.0,0.0,56.0,38.0,0.0,34.0
2019-03-07 21:00:00-08:00,16.550781,3.0423782,0.0,0.0,0.0,100.0,92.0,0.0,100.0
2019-03-08 00:00:00-08:00,15.736908,3.6691172,0.0,0.0,0.0,99.0,91.0,0.0,89.0
2019-03-08 03:00:00-08:00,8.75,2.8405752,0.0,0.0,0.0,56.0,50.0,0.0,19.0
2019-03-08 06:00:00-08:00,8.150726,0.61874986,0.0,0.0,0.0,35.0,32.0,0.0,10.0
2019-03-08 09:00:00-08:00,7.49646,2.4776065,351.29552063833916,190.32935194986507,247.23777448190287,49.0,47.0,0.0,10.0
2019-03-08 12:00:00-08:00,7.149994,5.8161874,616.4355762882043,300.61866860683443,378.3939074201967,36.0,35.0,0.0,5.0
2019-03-08 15:00:00-08:00,8.643951,4.769583,464.99444764431956,526.7307844027063,177.1278993963179,15.0,15.0,0.0,0.0
2019-03-08 18:00:00-08:00,19.504974,4.440679,0.0,0.0,0.0,15.0,14.0,1.0,0.0
2019-03-08 21:00:00-08:00,20.795105,7.409902,0.0,0.0,0.0,15.0,15.0,0.0,0.0
2019-03-09 00:00:00-08:00,14.857758,5.546532,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2019-03-09 03:00:00-08:00,7.1961365,2.47632,0.0,0.0,0.0,6.0,6.0,0.0,0.0
2019-03-09 06:00:00-08:00,5.703888,0.7527008,0.0,0.0,0.0,23.0,23.0,0.0,0.0
2019-03-09 09:00:00-08:00,4.5038757,2.2388008,503.1254216461885,674.2203547362217,131.3731834053484,5.0,5.0,0.0,0.0
2019-03-09 12:00:00-08:00,3.620697,2.325402,798.0564514236701,748.9790042278393,201.87870646134093,2.0,2.0,0.0,0.0
2019-03-09 15:00:00-08:00,6.9193726,1.3386389,514.9069404413065,728.5762392661002,114.2741529924408,1.0,1.0,0.0,0.0
2019-03-09 18:00:00-08:00,22.23761,1.6214129,0.0,0.0,0.0,33.0,6.0,0.0,32.0
2019-03-09 21:00:00-08:00,24.680817,3.3228703,0.0,0.0,0.0,84.0,9.0,0.0,84.0
2019-03-10 00:00:00-08:00,15.814606,4.520198,0.0,0.0,0.0,82.0,5.0,0.0,82.0
2019-03-10 03:00:00-07:00,7.2192383,2.1849716,0.0,0.0,0.0,40.0,24.0,0.0,36.0
